ipv4only.arpa
239.237.117.34.in-addr.arpa
79.137.222.52.in-addr.arpa
x.xx.xxx.xxx.in-addr.arpa
iris.arpa
in-addr.arpa
ip6.arpa
2.0.0.2.ip6.arpa
urn.arpa
e164.arpa
254.169.in-addr.arpa
ip-addr.arpa
3.f.f.e.ip6.arpa
8.e.f.ip6.arpa
9.e.f.ip6.arpa
a.e.f.ip6.arpa
b.e.f.ip6.arpa
resolver.arpa
sink.arpa
tld-e164.arpa
uri.arpa
186.204.254.10.in-addr.arpa
tpb.143.228.193.in-addr.arpa
141.230.103.in-addr.arpa
202.239.169.in-addr.arpa
177.121.185.in-addr.arpa
111.26.192.in-addr.arpa
176-30.80.30.212.in-addr.arpa
130.228.37.in-addr.arpa
2.c.3.0.b.4.2.e.e.0.0.0.a.2.ip6.arpa
4.3.0.0.1.c.2.2.7.0.a.2.ip6.arpa
