stdin.read
serial.read
wire.read
bt.read
mention.read
dht.read
adc0.read
ds18b20.read
gpssoft.read
serialusb.read
nic.read
whois.nic.read
good.read
client.read
bad.read
compass.read
dht11.read
ds.read
ds1.read
genotronex.read
lora.read
myserial.read
radio.read
ser.read
serial1.read
sim800l.read
self.spi.read
ss.read
garminstick2.usbdriver.read
pd.read
sfdora.org.read
pandas.read
